requirement,configuration
HSRP for IPv6 configuration,Hot Standby Router Protocol (HSRP)
Synchronizing HSRP SSO information to standby RP for continuous traffic forwarding during switchover without loss of data or path change.,The feature is enabled by default when the redundancy mode of operation is set to SSO.
Enabling and configuring SSO (Stateful Switchover) for HSRP (Hot Standby Router Protocol) on Cisco IOS devices.,"1. Enable SSO on the edge device:
   - Configure global commands: `sso policy ssr 32` and `sso primary-standby-policy`.
2. Configure HSRP on the devices participating in the redundancy group:
   - Define the HSRP group: `ip address <HSRP_virtual_IP> <interface> secondary`.
   - Set the HSRP priority and standby IP: `standby 1 ip <standby_IP> priority <priority_value>` (optional).
3. Configure SSO for HSRP on the devices:
   - Enable Stateful Switchover for HSRP: `sso protocol hsrp`.
4. Configure Ethernet links to continue during RP failover without switching over to an HSRP standby:
   - Configure `sso ethernet` under the appropriate VLAN interfaces."
SSO Aware HSRP Enabled,"Redundancy mode set to SSO, enabling the SSO aware HSRP."
Disable SSO HSRP if LAN segments should switch HSRP traffic to a redundant device while maintaining traffic flow for other connections.,"1. enable
2. configure terminal
3. redundancy
4. mode sso
5. exit
6. no standby sso"
"Down decrement by 10; Group name ""name1""",(cfgd)
Enable SSO-Aware HSRP on Gi0/0/1 Group 101.,"1. Set the redundancy mode to SSO:
   Device(config)# redundancy
   Device(config-red)# mode sso
2. Configure the interface (example using GigabitEthernet 1/0/0):
   Device(config)# interface GigabitEthernet 1/0/0
   Device(config-if)# ip address 10.1.1.1 255.255.0.0
   Device(config-if)# standby priority 200 
   Device(config-if)# standby preempt
   Device(config-if)# standby sso"
Increase network availability and reduce downtime caused by planned software upgrades.,Implementing ISSU (In Service Software Upgrade) in Cisco networks. Refer to the Cisco IOS In Service Software Upgrade Process document in the High Availability Configuration Guide for detailed information.
HSRP MIB support for Simple Network Management Protocol (SNMP) Get operations to monitor HSRP groups in a network from the network management station.,"Enabling HSRP MIB trap support through CLI, using a read-only version of the MIB and not supporting set operations."
Configure HSRP on two devices and enable the HSRP MIB trap support functionality.,"1. Set a higher priority level for the primary device (Device A) and enable preemption.
2. Configure IP addresses, standby priority, standby preempt, and standby IP address for each interface on both devices.
3. Enable SNMP traps for HSRP on both devices.
4. Configure the SNMP server host information for HSRP on both devices."
Configure the VRRP advertise timer and bridge forward-time command on the BVI interface to prevent a VRRP router from unconditionally taking over the primary role.,"Use the vrrp timers advertise command to set the VRRP advertisement timer, and use the bridge forward-time command to set the forwarding delay on the BVI interface."
"Dynamic routing protocol updates (e.g., Routing Information Protocol [RIP]), ICMP Router Discovery Protocol (IRDP) client.",Running dynamic routing protocols and ICMP Router Discovery Protocol on the LAN client.
Virtual Router Redundancy Protocol (VRRP) to provide redundancy for the primary router's IP address and ensure uninterrupted service for LAN hosts.,"VRRP routers with priority settings, Router A as the virtual primary router, Clients 1 through 3 configured with default gateway IP address of 10.0.0.1, Routers B and C as virtual router backups."
Sharing traffic to and from clients 1 through 4 and acting as virtual router backups for Routers A and B in case of failure.,"First Hop Redundancy Protocols Configuration Guide, Cisco IOS XE Fuji 16.11.x"
Configure two virtual routers with redundancy and load-sharing for better network reliability and traffic distribution.,"Virtual Router 1 - Router A (IP address 10.0.0.1, primary router), Virtual Router Backup - Router B. Default gateway IP address for Clients 1 and 2 is 10.0.0.1.
Virtual Router 2 - Router B (IP address 10.0.0.2, primary router), Virtual Router Backup - Router A. Default gateway IP address for Clients 3 and 4 is 10.0.0.2."
Virtual Router Management of Multiple IP Addresses and VRRP Configuration,"Multiple subnets on Ethernet interface, VRRP for each subnet, Preemption for higher priority virtual router backup."
VRRP authentication using the MD5 algorithm for improved reliability and security.,"IANA standard multicast address (224.0.0.18) for VRRP advertisements, IP protocol number 112 assigned by IANA."
The requirement is to set up a router interface that can act as a primary for one virtual router and as a backup for one or more virtual routers using VRRP (Virtual Router Redundancy Protocol).,Configure the priority of each virtual router backup with a value of 1 through 254 using the vrrp priority command.
Configurable VRRP advertisement interval (milliseconds),Millisecond timer values for primary and backup routers
Object tracking for VRRP devices to dynamically change priority based on tracked objects' states.,None provided in the text.
Support for In Service Software Upgrade (ISSU) in VRRP,High-availability system running in stateful switchover mode with different software versions on active and standby Route Processors or line cards
VRRP Support for Stateful Switchover to allow VRRP to continue in its current group state when a router fails over to the secondary RP.,Not provided in the text.
"Configure the router to act as a virtual router backup for a VRRP group, learn the advertisement interval used by the virtual primary router.",vrrp 10 timers learn
Configure IP address and VRRP group on a router interface.,Example 1: ip address 172.16.6.5 255.255.255.0; Example 2: vrrp 10 ip 172.16.6.1
The requirement is to configure and display the status of Virtual Router Redundancy Protocol (VRRP) groups on a router.,"The configuration includes setting up the VRRP backup address, interface type, and number, as well as configuring the VRRP group and its associated parameters such as priority, virtual IP and MAC addresses, advertisement interval, preemption delay, master router selection, and other related settings."
Track the line-protocol state of an interface using the track command in a router configuration.,Router(config)# track 2 interface serial 6 line-protocol
"Enabling privileged EXEC mode and configuring an interface with IP address, authentication for VRRP group.","1. Enable privileged EXEC mode (Router> enable)
2. Enter global configuration mode (Router# configure terminal)
3. Configure an interface (Router(config)# interface GigabitEthernet 0/0/0 Ethernet 0/1)
4. Specify a primary or secondary IP address for the interface (Router(config-if)# ip address 10.0.0.1 255.255.255.0)
5. Authenticate VRRP packets received from other routers in the group (Router(config-if)# vrrp 1 authentication text textstring1)"
Enabling and configuring VRRP on routers in a group to ensure high availability and load balancing.,"Configure each router with the same VRRP group IP address, enable VRRP on the interface, and repeat steps 1 through 6 on each router."
Configure VRRP for Router A and Router B in three different groups with specified properties.,"Group 1:
- Virtual IP address: 10.1.0.10
- Primary router: Router A (priority 120)
- Advertising interval: 3 seconds
- Preemption enabled

Group 5:
- Primary router: Router B (priority 200)
- Advertising interval: 30 seconds
- Preemption enabled

Group 100:
- Primary router: Router A (higher IP address, 10.1.0.2)
- Advertising interval: default 1 second
- Preemption disabled"
"Configuring VRRP with the specified timers, IP addresses, and priority values on a Cisco device.","- Set VRRP timers advertise to 3 for VRRP 1
- Set VRRP timers learn to default for VRRP 1
- Set VRRP IP address to 10.1.0.10 for VRRP 1
- Set VRRP priority to 100 for VRRP 5
- Set VRRP timers advertise to 30 for VRRP 5
- Set VRRP timers learn to default for VRRP 5
- Set VRRP IP address to 10.1.0.50 for VRRP 5
- Set VRRP timers learn to default for VRRP 100
- Disable VRRP preempt for VRRP 100
- Set VRRP IP address to 10.1.0.100 for VRRP 100
- No shutdown for the interface"
Configure VRRP for redundancy on interfaces GigabitEthernet 0/0/0 and GigabitEthernet 1/0/0.,"- Set the IP address for interface GigabitEthernet 0/0/0:
```
Router(config)#interface GigabitEthernet 0/0/0
Router(config-if)#ip address 10.1.0.1 255.0.0.0
```

- Configure VRRP for interface GigabitEthernet 0/0/0 with priority 100, authentication text ""cisco"", timers advertise 3, and backup IP address 10.1.0.10:
```
Router(config)#interface GigabitEthernet 0/0/0
Router(config-if)#vrrp 1 priority 100
Router(config-if)#vrrp 1 authentication text cisco
Router(config-if)#vrrp 1 timers advertise 3
Router(config-if)#vrrp 1 ip 10.1.0.10
```

- Configure VRRP for interface GigabitEthernet 1/0/0 with priority 200, timers advertise 30, and backup IP address 10.1.0.50:
```
Router(config)#interface GigabitEthernet 1/0/0
Router(config-if)#vrrp 5 priority 200
Router(config-if)#vrrp 5 timers advertise 30
Router(config-if)#vrrp 5 ip 10.1.0.50
```

- Enable VRRP tracking on line protocol state changes for interface GigabitEthernet 1/0:
```
Router(config)#interface GigabitEthernet 1/0
Router(config-if)#vrrp 100 timers learn
```

- Disable VRRP preemption for VRRP instance 100 and set its backup IP address to 10.1.0.100:
```
Router(config)#interface GigabitEthernet 1/0
Router(config-if)#no vrrp 100 preempt
Router(config-if)#vrrp 100 ip 10.1.0.100
```

- Disable the shutdown state for interface GigabitEthernet 1/0:
```
Router(config-if)#no shutdown
```"
